millet , milk , 3 , 2 , 3
kfc , [!] , 3 , 0 , 3
chili , milk , 3 , 1 , 3
ham , [!] , 3 , 0 , 3
smelt , milk , 3 , 1 , 3
salt , milk , 3 , 0 , 3
figs , milk , 3 , 0 , 3
rice , milk , 3 , 0 , 3
dock , milk , 3 , 0 , 3
emu , [!] , 3 , 0 , 3
kale , milk , 3 , 0 , 3
egg , [!] , 3 , 0 , 3
miso , milk , 2 , 0 , 3
soymilk , milk , 3 , 3 , 3
yam , [!] , 3 , 0 , 3
milk , milk , 0 , 0 , 3
dip , milk , 3 , 1 , 3
dip , [!] , 3 , 0 , 3
oil , milk , 2 , 1 , 3
oil , [!] , 3 , 0 , 3
fish , milk , 3 , 0 , 3
pie , milk , 3 , 1 , 3
pie , [!] , 3 , 0 , 3
mush , milk , 3 , 0 , 3
elk , milk , 2 , 1 , 3
elk , [!] , 3 , 0 , 3
melon , milk , 3 , 1 , 3
pork , milk , 3 , 0 , 3
poi , [!] , 3 , 0 , 3
fat , [!] , 3 , 0 , 3
tea , [!] , 3 , 0 , 3
duck , milk , 3 , 0 , 3
owl , milk , 3 , 1 , 3
owl , [!] , 3 , 0 , 3
jute , juice , 2 , 1 , 3
rice , juice , 2 , 1 , 3
nance , juice , 3 , 0 , 3
juice , juice , 0 , 0 , 3
pace , juice , 3 , 1 , 3
jujube , juice , 3 , 1 , 3
pie , juice , 3 , 2 , 3
quinces , juice , 3 , 2 , 3
sauce , juice , 3 , 0 , 3
spices , juice , 3 , 1 , 3
duck , juice , 3 , 1 , 3
kfc , okay , 3 , 1 , 3
oats , okay , 3 , 0 , 3
ham , okay , 3 , 1 , 3
okra , okay , 2 , 0 , 3
wocas , okay , 3 , 1 , 3
veal , okay , 3 , 0 , 3
okara , okay , 2 , 1 , 3
gravy , okay , 3 , 1 , 3
kale , okay , 3 , 0 , 3
peas , okay , 3 , 0 , 3
yam , okay , 3 , 1 , 3
honey , okay , 3 , 1 , 3
seal , okay , 3 , 0 , 3
oil , okay , 3 , 1 , 3
bear , okay , 3 , 0 , 3
rowal , okay , 3 , 1 , 3
whey , okay , 3 , 0 , 3
fat , okay , 3 , 1 , 3
tea , okay , 3 , 1 , 3
yokan , okay , 2 , 1 , 3
flan , okay , 3 , 0 , 3
goat , okay , 3 , 0 , 3
owl , okay , 3 , 1 , 3
millet , milk , 3 , 2 , 3
chili , milk , 3 , 1 , 3
smelt , milk , 3 , 1 , 3
salt , milk , 3 , 0 , 3
figs , milk , 3 , 0 , 3
rice , milk , 3 , 0 , 3
dock , milk , 3 , 0 , 3
kale , milk , 3 , 0 , 3
miso , milk , 2 , 0 , 3
soymilk , milk , 3 , 3 , 3
goat milk , *fat: milk , 3 , 1 , 3
milk , milk , 0 , 0 , 3
dip , milk , 3 , 1 , 3
oil , milk , 2 , 1 , 3
fish , milk , 3 , 0 , 3
pie , milk , 3 , 1 , 3
mush , milk , 3 , 0 , 3
elk , milk , 2 , 1 , 3
melon , milk , 3 , 1 , 3
pork , milk , 3 , 0 , 3
duck , milk , 3 , 0 , 3
owl , milk , 3 , 1 , 3
