Food Database Name, Transcript Food Name, edit distance, word relative length, food word relative edit distance
pea,peas,0.0,1.333,0.0
carrot,carrots,0.0,1.167,0.0
carrot,carrots,0.0,1.167,0.0
carrot,carrots,0.0,1.167,0.0
carrot,carrots,0.0,1.167,0.0
carrots,carrot,0.0,0.857,0.0
peppers,pepper,0.0,0.857,0.0
carrot,carrots,0.0,1.167,0.0
brownies,brownie,0.0,0.875,0.0
brownies,brownie,0.0,0.875,0.0
cookies,cookie,0.0,0.857,0.0
cookies,cookie,0.0,0.857,0.0
stalks,talk,0.0,0.667,0.0
spot,pots,0.0,1.0,0.0
cream,scream,0.0,1.2,0.0
flowers,flower,0.0,0.857,0.0
flowers,flower,0.0,0.857,0.0
flowers,flower,0.0,0.857,0.0
peppers,pepper,0.0,0.857,0.0
flowers,flower,0.0,0.857,0.0
flowers,flower,0.0,0.857,0.0
peppers,pepper,0.0,0.857,0.0
tart,start,0.0,1.25,0.0
stalks,talk,0.0,0.667,0.0
mother's,mother>,0.0,0.875,0.0
desserts,dessert,0.0,0.875,0.0
desserts,dessert,0.0,0.875,0.0
apples,apple,0.0,0.833,0.0
seeds,seed,0.0,0.8,0.0
apples,apple,0.0,0.833,0.0
seeds,seed,0.0,0.8,0.0
muffins,muffin,0.0,0.857,0.0
muffins,muffin,0.0,0.857,0.0
onion,onions,0.0,1.2,0.0
onion,onions,0.0,1.2,0.0
onion,onions,0.0,1.2,0.0
onion,onions,0.0,1.2,0.0
onion,onions,0.0,1.2,0.0
onion,onions,0.0,1.2,0.0
muffins,muffin,0.0,0.857,0.0
scup,cups,0.0,1.0,0.0
oranges,orange,0.0,0.857,0.0
grapes,grape,0.0,0.833,0.0
oranges,orange,0.0,0.857,0.0
grapes,grape,0.0,0.833,0.0
grapes,grape,0.0,0.833,0.0
rolls,roll,0.0,0.8,0.0
rolls,roll,0.0,0.8,0.0
rolls,roll,0.0,0.8,0.0
rolls,roll,0.0,0.8,0.0
fat,fast,0.0,1.333,0.0
lemons,lemon,0.0,0.833,0.0
shark,sharks,0.0,1.2,0.0
eggs,egg,0.0,0.75,0.0
eggs,egg,0.0,0.75,0.0
stalks,talk,0.0,0.667,0.0
scup,cups,0.0,1.0,0.0
scup,cups,0.0,1.0,0.0
oranges,orange,0.0,0.857,0.0
pea,peas,0.0,1.333,0.0
carrot,carrots,0.0,1.167,0.0
tart,start,0.0,1.25,0.0
tart,start,0.0,1.25,0.0
scup,cup,0.0,0.75,0.0
scup,cup,0.0,0.75,0.0
desserts,dessert,0.0,0.875,0.0
shoots,shoot,0.0,0.833,0.0
stalks,talk,0.0,0.667,0.0
shoots,shoot,0.0,0.833,0.0
stalks,talk,0.0,0.667,0.0
scup,cups,0.0,1.0,0.0
scup,cups,0.0,1.0,0.0
desserts,dessert,0.0,0.875,0.0
ice creams,ice cream,0.0,0.9,0.0
ice creams,ice cream,0.0,0.9,0.0
stalks,talk,0.0,0.667,0.0
ice creams,ice cream,0.0,0.9,0.0
fat,fast,0.0,1.333,0.0
apples,apple,0.0,0.833,0.0
spices,spice,0.0,0.833,0.0
eggs,egg,0.0,0.75,0.0
milk shakes,milk shake,0.0,0.909,0.0
oat,oats,0.0,1.333,0.0
cereals,cereal,0.0,0.857,0.0
oat,oats,0.0,1.333,0.0
stalks,talk,0.0,0.667,0.0
cereals,cereal,0.0,0.857,0.0
cereals,cereal,0.0,0.857,0.0
biscuit,biscuits,0.0,1.143,0.0
scup,cup,0.0,0.75,0.0
biscuit,biscuits,0.0,1.143,0.0
biscuit,biscuits,0.0,1.143,0.0
fat,fast,0.0,1.333,0.0
stalks,talk,0.0,0.667,0.0
biscuit,biscuits,0.0,1.143,0.0
biscuit,biscuits,0.0,1.143,0.0
shoots,shoot,0.0,0.833,0.0
egg,eggs,0.0,1.333,0.0
oranges,orange,0.0,0.857,0.0
gums,gum,0.0,0.75,0.0
gums,gum,0.0,0.75,0.0
gums,gum,0.0,0.75,0.0
gums,gum,0.0,0.75,0.0
sugars,sugar,0.0,0.833,0.0
apples,apple,0.0,0.833,0.0
vegetables,vegetable,0.0,0.9,0.0
beer,beers,0.0,1.25,0.0
beer,beers,0.0,1.25,0.0
cucumber,cucumbers,0.0,1.125,0.0
cucumber,cucumbers,0.0,1.125,0.0
cucumber,cucumbers,0.0,1.125,0.0
horse,horses,0.0,1.2,0.0
stalks,talk,0.0,0.667,0.0
stalks,talk,0.0,0.667,0.0
tuna fish,tuna+fish,0.0,1.0,0.0
ice creams,ice cream,0.0,0.9,0.0
ice cream cones,ice cream cone,0.0,0.933,0.0
ice creams,ice cream,0.0,0.9,0.0
ice cream cones,ice cream cone,0.0,0.933,0.0
oranges,orange,0.0,0.857,0.0
oranges,orange,0.0,0.857,0.0
oranges,orange,0.0,0.857,0.0
desserts,dessert,0.0,0.875,0.0
ice creams,ice cream,0.0,0.9,0.0
ice cream cones,ice cream cone,0.0,0.933,0.0
ice creams,ice cream,0.0,0.9,0.0
ice cream cones,ice cream cone,0.0,0.933,0.0
ice creams,ice cream,0.0,0.9,0.0
ice cream cones,ice cream cone,0.0,0.933,0.0
ice creams,ice cream,0.0,0.9,0.0
ice cream cones,ice cream cone,0.0,0.933,0.0
stalks,talk,0.0,0.667,0.0
ice creams,ice cream,0.0,0.9,0.0
ice cream cones,ice cream cone,0.0,0.933,0.0
cucumber,cucumbers,0.0,1.125,0.0
cucumber,cucumbers,0.0,1.125,0.0
cucumber,cucumbers,0.0,1.125,0.0
cucumber,cucumbers,0.0,1.125,0.0
cucumber,cucumbers,0.0,1.125,0.0
scup,cup,0.0,0.75,0.0
table,tables,0.0,1.2,0.0
lobster,lobsters,0.0,1.143,0.0
lobster,lobsters,0.0,1.143,0.0
oranges,orange,0.0,0.857,0.0
cake,cakes,0.0,1.25,0.0
scup,cup,0.0,0.75,0.0
scup,cup,0.0,0.75,0.0
scup,cup,0.0,0.75,0.0
spot,pot,0.0,0.75,0.0
ice creams,ice cream,0.0,0.9,0.0
ice creams,ice cream,0.0,0.9,0.0
ice creams,ice cream,0.0,0.9,0.0
ice creams,ice cream,0.0,0.9,0.0
ice creams,ice cream,0.0,0.9,0.0
ice creams,ice cream,0.0,0.9,0.0
flowers,flower,0.0,0.857,0.0
ice creams,ice cream,0.0,0.9,0.0
meatballs,meatball,0.0,0.889,0.0
peppers,pepper,0.0,0.857,0.0
eggs,egg,0.0,0.75,0.0
cookies,cookie,0.0,0.857,0.0
cookies,cookie,0.0,0.857,0.0
cookies,cookie,0.0,0.857,0.0
gums,gum,0.0,0.75,0.0
gums,gum,0.0,0.75,0.0
gums,gum,0.0,0.75,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
turtle,turtles,0.0,1.167,0.0
meatballs,meatball,0.0,0.889,0.0
scup,cup,0.0,0.75,0.0
desserts,dessert,0.0,0.875,0.0
stalks,talk,0.0,0.667,0.0
scup,cup,0.0,0.75,0.0
scup,cup,0.0,0.75,0.0
peanuts,peanut,0.0,0.857,0.0
peanuts,peanut,0.0,0.857,0.0
desserts,dessert,0.0,0.875,0.0
sugars,sugar,0.0,0.833,0.0
sugars,sugar,0.0,0.833,0.0
sugars,sugar,0.0,0.833,0.0
sugars,sugar,0.0,0.833,0.0
sugars,sugar,0.0,0.833,0.0
saltines crackers,<saltine crackers,1.0,1.0,0.059
strawberries,strawberries>,1.0,1.083,0.083
applesauce,applesauce>,1.0,1.1,0.1
fast foods,cat food,1.0,0.8,0.1
fast foods,cat+food,1.0,0.8,0.1
fast foods,cat food,1.0,0.8,0.1
ice creams,ice cream>,1.0,1.0,0.1
fast food,cat food,1.0,0.889,0.111
fast food,cat+food,1.0,0.889,0.111
fast food,cat food,1.0,0.889,0.111
ice cream,ice cream>,1.0,1.111,0.111
meatballs,meatball],1.0,1.0,0.111
toppings,tapping,1.0,0.875,0.125
mother's,mother,1.0,0.75,0.125
broccoli,broccoli],1.0,1.125,0.125
mother's,mother,1.0,0.75,0.125
tomatoes,tomato>,1.0,0.875,0.125
broccoli,broccoli>,1.0,1.125,0.125
broccoli,broccoli>,1.0,1.125,0.125
broccoli,broccoli's,1.0,1.25,0.125
honeydew,honey+dew,1.0,1.125,0.125
honeydew,honey+dew,1.0,1.125,0.125
broccoli,broccoli>,1.0,1.125,0.125
honeydew,honey+dew,1.0,1.125,0.125
toppings,popping,1.0,0.875,0.125
toppings,popping,1.0,0.875,0.125
toppings,hopping,1.0,0.875,0.125
toppings,hopping,1.0,0.875,0.125
toppings,hopping,1.0,0.875,0.125
toppings,hopping,1.0,0.875,0.125
mother's,mother,1.0,0.75,0.125
crackers,crackers>,1.0,1.125,0.125
crackers,crackers>,1.0,1.125,0.125
desserts,dessert>,1.0,1.0,0.125
mother's,mother,1.0,0.75,0.125
mother's,mother,1.0,0.75,0.125
mother's,mother,1.0,0.75,0.125
saltines,<saltine,1.0,1.0,0.125
carrots,carrots>,1.0,1.143,0.143
topping,tapping,1.0,1.0,0.143
muffins,<muffin,1.0,1.0,0.143
oranges,<orange,1.0,1.0,0.143
cockles,cackles,1.0,1.0,0.143
chicken,chicken's,1.0,1.286,0.143
cardoon,cartoons,1.0,1.143,0.143
cardoon,cartoons,1.0,1.143,0.143
cardoon,cartoon,1.0,1.0,0.143
topping,popping,1.0,1.0,0.143
topping,popping,1.0,1.0,0.143
cardoon,cartoon,1.0,1.0,0.143
topping,hopping,1.0,1.0,0.143
topping,hopping,1.0,1.0,0.143
topping,hopping,1.0,1.0,0.143
topping,hopping,1.0,1.0,0.143
candies,candle,1.0,0.857,0.143
dessert,dessert>,1.0,1.143,0.143
candies,candles,1.0,1.0,0.143
candies,candles,1.0,1.0,0.143
candies,candles,1.0,1.0,0.143
candies,candles,1.0,1.0,0.143
sheanut,peanut,1.0,0.857,0.143
sheanut,peanut,1.0,0.857,0.143
smooth peanut butter,*mot: peanut butter,3.0,0.95,0.15
rice crackers,fire crackers,2.0,1.0,0.154
rice crackers,fire crackers,2.0,1.0,0.154
peanut butter,pean(ut) butter,2.0,1.154,0.154
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
carrot,carrots>,1.0,1.333,0.167
smooth,mouth,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
stalks,walk,1.0,0.667,0.167
stalks,walk,1.0,0.667,0.167
breast,bread,1.0,0.833,0.167
grapes,grace,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
stalks,walk,1.0,0.667,0.167
smooth,mouth,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
breast,break,1.0,0.833,0.167
capers,paper,1.0,0.833,0.167
breast,bread,1.0,0.833,0.167
smooth,mouth,1.0,0.833,0.167
shoots,boot,1.0,0.667,0.167
scotch,couch,1.0,0.833,0.167
sweet onions,want onions,2.0,0.917,0.167
muffin,<muffin,1.0,1.167,0.167
orange,<orange,1.0,1.167,0.167
grapes,grape>,1.0,1.0,0.167
